Networks test result:
Layers: 11, neurons: 1, absolute error: 0.05
Layers: 11, neurons: 2, absolute error: 0.30
Layers: 11, neurons: 3, absolute error: 0.15
Layers: 11, neurons: 4, absolute error: 0.35
Layers: 11, neurons: 5, absolute error: 0.10
Layers: 11, neurons: 6, absolute error: 0.30
Layers: 11, neurons: 7, absolute error: 0.10
Layers: 11, neurons: 8, absolute error: 0.30
Layers: 11, neurons: 9, absolute error: 0.05
Layers: 11, neurons: 10, absolute error: 0.15
Layers: 11, neurons: 11, absolute error: 0.25
Layers: 11, neurons: 12, absolute error: 0.10
Layers: 11, neurons: 13, absolute error: 0.30
Layers: 11, neurons: 14, absolute error: 0.10
Layers: 11, neurons: 15, absolute error: 0.25
Layers: 11, neurons: 16, absolute error: 0.30
Layers: 11, neurons: 17, absolute error: 0.10
Layers: 11, neurons: 18, absolute error: 0.10
Layers: 11, neurons: 19, absolute error: 0.10
Layers: 11, neurons: 20, absolute error: 0.10
Layers: 12, neurons: 1, absolute error: 0.10
Layers: 12, neurons: 2, absolute error: 0.10
Layers: 12, neurons: 3, absolute error: 0.30
Layers: 12, neurons: 4, absolute error: 0.50
Layers: 12, neurons: 5, absolute error: 0.10
Layers: 12, neurons: 6, absolute error: 0.25
Layers: 12, neurons: 7, absolute error: 0.30
Layers: 12, neurons: 8, absolute error: 0.10
Layers: 12, neurons: 9, absolute error: 0.30
Layers: 12, neurons: 10, absolute error: 0.10
Layers: 12, neurons: 11, absolute error: 0.30
Layers: 12, neurons: 12, absolute error: 0.15
Layers: 12, neurons: 13, absolute error: 0.30
Layers: 12, neurons: 14, absolute error: 0.10
Layers: 12, neurons: 15, absolute error: 0.30
Layers: 12, neurons: 16, absolute error: 0.40
Layers: 12, neurons: 17, absolute error: 0.05
Layers: 12, neurons: 18, absolute error: 0.25
Layers: 12, neurons: 19, absolute error: 0.10
Layers: 12, neurons: 20, absolute error: 0.10
Layers: 13, neurons: 1, absolute error: 0.10
Layers: 13, neurons: 2, absolute error: 0.10
Layers: 13, neurons: 3, absolute error: 0.25
Layers: 13, neurons: 4, absolute error: 0.10
Layers: 13, neurons: 5, absolute error: 0.50
Layers: 13, neurons: 6, absolute error: 0.20
Layers: 13, neurons: 7, absolute error: 0.30
Layers: 13, neurons: 8, absolute error: 0.25
Layers: 13, neurons: 9, absolute error: 0.20
Layers: 13, neurons: 10, absolute error: 0.30
Layers: 13, neurons: 11, absolute error: 0.10
Layers: 13, neurons: 12, absolute error: 0.30
Layers: 13, neurons: 13, absolute error: 0.30
Layers: 13, neurons: 14, absolute error: 0.10
Layers: 13, neurons: 15, absolute error: 0.25
Layers: 13, neurons: 16, absolute error: 0.25
Layers: 13, neurons: 17, absolute error: 0.15
Layers: 13, neurons: 18, absolute error: 0.25
Layers: 13, neurons: 19, absolute error: 0.10
Layers: 13, neurons: 20, absolute error: 0.30
Layers: 14, neurons: 1, absolute error: 0.10
Layers: 14, neurons: 2, absolute error: 0.10
Layers: 14, neurons: 3, absolute error: 0.20
Layers: 14, neurons: 4, absolute error: 0.30
Layers: 14, neurons: 5, absolute error: 0.10
Layers: 14, neurons: 6, absolute error: 0.10
Layers: 14, neurons: 7, absolute error: 0.35
Layers: 14, neurons: 8, absolute error: 0.25
Layers: 14, neurons: 9, absolute error: 0.10
Layers: 14, neurons: 10, absolute error: 0.10
Layers: 14, neurons: 11, absolute error: 0.10
